region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities,Cluster
Республика Адыгея,4.687886038976403,9.378011469412838,5.506981400435248,69.98024043606998,6402.635,12.725,21.1,34.53862337527897,102.0,27.307713440052368,105.125,40.075,9.6,50.35,19.6,5.966666666666666,275881.8,245.05924609764892,56.63618928376103,4.659999999999999,36.620000000000005,60.0,479395.4,52.06083594451469,55.91321983927535,19.62,25.28,55.1,7.980000000000001,69.47999999999999,1
Республика Алтай,8.860059880496852,14.792333937514568,21.05698176273365,103.45104710008988,7708.714,24.375,18.525,24.36358432716987,102.825,30.32080208883272,107.075,45.375,3.9,50.7,14.4,5.233333333333333,255542.125,90.54869181974804,32.58270882297877,10.779999999999998,56.38,69.7,211099.6,53.26590072013633,68.25742615066997,28.0,18.380000000000003,53.620000000000005,17.04,22.158,2
Республика Башкортостан,5.93242586519756,10.63843242275785,8.862268470530605,61.84218348858538,8146.061,12.0,21.75,36.003726696727874,98.55,33.28037992675708,104.875,40.1,5.5,54.425,17.4,2.9000000000000004,416856.25,791.4200358919297,55.73125326464415,6.459999999999999,52.88,73.84,4113712.8,56.33181243472046,61.74164039040405,20.380000000000003,24.0,55.61999999999999,8.34,69.152,1
Республика Бурятия,5.651580155382904,13.336740883913077,16.068888132095466,75.52390959854861,5377.92,19.525,23.7,30.234045079633788,98.45,35.64178334332679,104.475,43.5,4.95,51.575,17.2,5.666666666666667,272210.8,280.3977187261894,47.58751703265897,2.88,52.17999999999999,67.91999999999999,981090.0,56.28724827295548,66.49561334919001,24.46,20.04,55.48,8.02,33.898,2
Республика Дагестан,7.896804848186969,15.082234347550104,2.1781179878027594,94.3390860204826,6464.222,14.625,27.15,32.67162138709844,99.375,25.148408889483452,107.575,39.89999999999999,6.525,53.55,22.5,2.9,225215.4,45.7164892034208,47.97010998687509,8.02,12.3,57.78,3113324.4,48.63694500943691,65.26417493747644,25.74,13.919999999999998,60.34,14.26,42.968,2
Республика Ингушетия,6.182754076348273,16.717462922457297,1.2597826176992055,111.32010196354048,5391.978,30.125,30.175,19.928997902210746,100.4,25.12499790973395,103.95,39.8,9.25,50.925,27.8,0.1333333333333333,137630.34999999998,20.739940971673924,12.653723893288701,5.96,0.36,62.06,488510.0,56.9837831894893,68.08807003124058,28.48,12.9,58.620000000000005,52.04,84.96400000000001,2
Республика Калмыкия,3.628610480103498,10.504070297499164,8.24463358135321,78.81490887089726,8414.419,23.525,24.55,21.818835041910116,101.275,26.1815975365916,106.57500000000002,27.025,1.95,46.025000000000006,20.2,2.1666666666666665,318996.05000000005,35.83927666719262,20.423269867586278,0.3,35.86,69.96,272426.6,50.545214666593374,60.513960060080805,21.76,22.34,55.9,10.68,48.068,2
Республика Карелия,5.017533657394528,10.08727289153235,14.292520490080031,110.83446086329111,11801.616000000002,15.725,26.55,36.55451055136235,101.15,39.010575551770515,105.125,38.725,5.625,55.7,17.1,4.7,492190.175,816.6380977072014,52.33995442888444,6.48,88.67999999999999,79.35999999999999,561847.6,70.34914701409122,65.45692814427154,18.34,27.06,54.620000000000005,9.52,54.226,1
Республика Коми,4.345489924242187,10.525014700247876,16.25029800026673,80.2861817958266,11381.485,15.35,22.975,42.14364223711413,98.425,49.37184519131309,102.65,38.15,7.275,54.6,15.5,6.833333333333333,793811.925,1528.102666439982,48.28955987068692,9.58,96.84,83.8,780048.6,72.77694097813936,68.27888358312451,20.2,22.64,57.16,8.12,57.766,1
Республика Крым,4.931220645332557,10.102292047219173,5.863154934542088,64.11888067059587,5597.599,17.775000000000002,13.9,26.384038533557014,102.7,29.319624373218794,105.225,43.875,5.25,50.87499999999999,19.0,1.3,236429.9,157.92622816783563,35.47274504302328,12.94,45.78,82.02,1931163.0,52.59326040349623,56.7299357852996,18.140000000000004,27.9,53.98,6.340000000000001,58.876,1
Республика Марий Эл,4.674625954074736,10.322275637745722,7.279281611725461,92.07216366289576,9160.416,20.425,23.6,24.74142996763498,99.025,27.714061159990155,104.6,35.425,4.95,59.65,16.5,3.9333333333333336,283618.5,501.4482612982088,33.23428634325949,3.7,134.45999999999998,74.66,683995.4,52.84305425759991,57.19811998947739,19.74,25.52,54.74,4.66,66.52399999999999,1
Республика Мордовия,3.942409643130027,7.530600486130234,8.052571429121576,86.55374365629032,7724.781,17.9,21.025,23.53086246844943,100.325,26.509351253084635,104.85,33.375,7.5,59.2,20.0,1.1333333333333333,318644.9,538.4944574084807,30.67392083087436,2.9,83.62,83.84,803445.8,53.087570776757744,55.920129859896306,15.139999999999995,27.82,57.040000000000006,5.1,59.926,1
Республика Саха (Якутия),4.63340228873629,13.408415516348343,10.54231164655006,53.75071274741733,9768.72,18.325,15.7,53.34078266720659,101.025,67.28435023781255,102.975,45.2,5.425000000000001,49.375,16.5,4.633333333333334,1142831.35,1831.041981514432,61.27418293603976,3.6,120.46,87.38,973938.0,78.74135561541421,77.39720132042008,24.64,17.04,58.32000000000001,10.8,46.536,0
Республика Татарстан,4.531971142533736,11.05664680979338,7.009758016048454,71.36652431866142,7979.278,6.925000000000001,13.225,41.86535785727117,99.2,34.56105607407425,103.875,41.0,8.525,50.475,16.2,2.9,661923.3,1336.7511435998333,59.6599315696188,10.32,47.18000000000001,89.73999999999998,3977905.0,56.72057610906492,56.53463678143362,19.44,24.700000000000003,55.86,4.180000000000001,81.7,1
Республика Тыва,7.186722379478897,20.121218212944207,17.15261687842769,63.18902218176576,5335.467,33.99999999999999,23.0,20.158871760833758,103.55,36.025914521257405,106.6,45.675,4.4,49.925,13.6,11.3,231519.3,173.8855636981532,19.117657898215334,10.56,70.94000000000001,57.28,327000.0,60.71170725450315,70.83498507071862,34.38,11.26,54.36,31.8,34.886,2
Республика Хакасия,4.636467913560574,10.792352938283091,16.79574545624156,51.56248958735464,8196.282,18.7,23.700000000000003,26.899199551822093,100.925,37.31423507012544,103.775,39.6,4.6,55.775000000000006,17.9,2.333333333333333,459103.5,806.5278577192131,41.46706167530113,12.86,74.53999999999999,76.5,538995.2,57.144448720063025,68.15389706978758,21.88,23.3,54.81999999999999,8.92,61.788,1
Ростовская область,5.726425884655855,9.194777959632068,6.674748363204797,83.62103111905286,8186.391,13.35,26.125,36.23634077353314,100.6,30.894609980244,104.05,40.375,4.925000000000001,54.7,18.2,2.6666666666666665,375668.45000000007,505.9332265080709,57.490168599368765,8.879999999999999,28.7,82.26,4234922.0,53.75148883147344,55.200881573157126,16.96,26.96,56.080000000000005,6.94,66.102,1
Рязанская область,5.0535087298269685,8.40635231002947,5.468151651700241,117.80124148285806,8228.89,12.95,21.825,31.637645726325275,98.675,31.457190156877452,103.05,34.6,7.075,58.35,19.0,1.1333333333333333,382276.9250000001,638.3183663179034,46.271487685135725,16.5,43.02,81.97999999999999,1123585.4,56.51432026826454,56.35352150410541,15.84,30.1,54.080000000000005,4.74,60.696000000000005,1
Самарская область,4.553413899987101,9.53141913190491,8.100558238437678,66.57997298095268,10008.283,12.8,22.75,34.88845789654763,98.8,33.30689644463662,104.55,39.625,5.875,54.49999999999999,16.9,2.7,499635.225,977.694439287369,52.35140371713673,8.860000000000001,41.4,92.14,3206534.2,57.46922470818904,56.32685124907715,17.36,27.0,55.64,5.619999999999999,81.948,1
Санкт-Петербург,3.6385450155234222,10.81699848792304,3.8351917915567264,106.1704637958389,11125.154,6.525,17.0,55.93485587974705,102.375,59.411333303074244,105.125,13.075,2.45,34.5,15.7,2.0,904691.8,1026.3047353730658,70.35494267739395,8.32,14.84,102.92,5523162.4,63.755849962435626,57.08028595362528,15.679999999999998,26.799999999999997,57.52,4.22,96.316,1
